Loading data to memory...
Loading data to memory done!
Loading data to scheduler...
Loading data to scheduler done!
Running scheduler...
pushing USDJPY 2014-06-11 17:53:14.277
pushing USDJPY 2014-06-11 17:53:38.683
pushing USDJPY 2014-06-11 17:53:59.637
pushing USDJPY 2014-06-11 17:54:41.573
pushing USDJPY 2014-06-11 17:55:44.837
pushing USDJPY 2014-06-11 17:57:51.680
pushing USDJPY 2014-06-11 17:58:07.820
pushing USDJPY 2014-06-11 17:58:51.150
pushing USDJPY 2014-06-11 17:59:11.773
pushing USDJPY 2014-06-11 17:59:32.400
pushing USDJPY 2014-06-11 17:59:35.820
pushing USDJPY 2014-06-11 17:59:56.117
pushing USDJPY 2014-06-11 18:00:00.290
pushing USDJPY 2014-06-11 18:00:00.617
pushing USDJPY 2014-06-11 18:00:00.993
pushing USDJPY 2014-06-11 18:00:01.290
pushing USDJPY 2014-06-11 18:00:01.947
pushing USDJPY 2014-06-11 18:00:02.307
pushing USDJPY 2014-06-11 18:00:02.663
pushing USDJPY 2014-06-11 18:00:03.007
pushing USDJPY 2014-06-11 18:00:04.383
pushing USDJPY 2014-06-11 18:00:10.227
pushing USDJPY 2014-06-11 18:00:10.570
pushing USDJPY 2014-06-11 18:00:13.307
pushing USDJPY 2014-06-11 18:00:16.070
pushing USDJPY 2014-06-11 18:00:19.837
pushing USDJPY 2014-06-11 18:00:20.210
pushing USDJPY 2014-06-11 18:00:20.867
pushing USDJPY 2014-06-11 18:00:21.243
pushing USDJPY 2014-06-11 18:00:22.603
pushing USDJPY 2014-06-11 18:00:23.290
pushing USDJPY 2014-06-11 18:00:23.617
pushing USDJPY 2014-06-11 18:00:23.977
pushing USDJPY 2014-06-11 18:00:24.337
pushing USDJPY 2014-06-11 18:00:26.727
pushing USDJPY 2014-06-11 18:00:27.070
pushing USDJPY 2014-06-11 18:00:27.397
pushing USDJPY 2014-06-11 18:00:29.133
pushing USDJPY 2014-06-11 18:00:29.807
pushing USDJPY 2014-06-11 18:00:34.977
pushing USDJPY 2014-06-11 18:00:37.383
pushing USDJPY 2014-06-11 18:00:39.100
pushing USDJPY 2014-06-11 18:00:40.133
pushing USDJPY 2014-06-11 18:00:41.850
pushing USDJPY 2014-06-11 18:00:44.600
pushing USDJPY 2014-06-11 18:00:44.960
pushing USDJPY 2014-06-11 18:00:45.290
pushing USDJPY 2014-06-11 18:00:45.633
pushing USDJPY 2014-06-11 18:00:46.307
pushing USDJPY 2014-06-11 18:00:46.663
pushing USDJPY 2014-06-11 18:00:47.350
pushing USDJPY 2014-06-11 18:00:48.040
pushing USDJPY 2014-06-11 18:00:50.100
pushing USDJPY 2014-06-11 18:00:50.447
pushing USDJPY 2014-06-11 18:00:52.493
pushing USDJPY 2014-06-11 18:00:54.570
pushing USDJPY 2014-06-11 18:00:55.257
pushing USDJPY 2014-06-11 18:00:55.600
pushing USDJPY 2014-06-11 18:00:57.647
pushing USDJPY 2014-06-11 18:00:58.697
pushing USDJPY 2014-06-11 18:00:59.040
pushing USDJPY 2014-06-11 18:01:01.803
pushing USDJPY 2014-06-11 18:01:02.117
pushing USDJPY 2014-06-11 18:01:03.837
pushing USDJPY 2014-06-11 18:01:04.197
pushing USDJPY 2014-06-11 18:01:05.913
pushing USDJPY 2014-06-11 18:01:06.243
pushing USDJPY 2014-06-11 18:01:07.617
pushing USDJPY 2014-06-11 18:01:07.977
pushing USDJPY 2014-06-11 18:01:08.993
pushing USDJPY 2014-06-11 18:01:09.367
pushing USDJPY 2014-06-11 18:01:09.680
pushing USDJPY 2014-06-11 18:01:10.040
pushing USDJPY 2014-06-11 18:01:11.413
pushing USDJPY 2014-06-11 18:01:12.100
pushing USDJPY 2014-06-11 18:01:13.820
pushing USDJPY 2014-06-11 18:01:15.883
pushing USDJPY 2014-06-11 18:01:16.227
pushing USDJPY 2014-06-11 18:01:19.663
pushing USDJPY 2014-06-11 18:01:20.007
pushing USDJPY 2014-06-11 18:01:33.053
pushing USDJPY 2014-06-11 18:01:41.320
pushing USDJPY 2014-06-11 18:01:41.647
pushing USDJPY 2014-06-11 18:01:48.867
pushing USDJPY 2014-06-11 18:01:50.257
pushing USDJPY 2014-06-11 18:01:51.633
pushing USDJPY 2014-06-11 18:01:52.993
pushing USDJPY 2014-06-11 18:01:53.350
pushing USDJPY 2014-06-11 18:01:53.697
pushing USDJPY 2014-06-11 18:01:59.197
pushing USDJPY 2014-06-11 18:02:40.787
pushing USDJPY 2014-06-11 18:03:00.727
pushing USDJPY 2014-06-11 18:03:06.227
pushing USDJPY 2014-06-11 18:03:25.133
pushing USDJPY 2014-06-11 18:03:41.633
pushing USDJPY 2014-06-11 18:03:45.053
pushing USDJPY 2014-06-11 18:03:48.837
pushing USDJPY 2014-06-11 18:04:01.913
pushing USDJPY 2014-06-11 18:04:03.977
pushing USDJPY 2014-06-11 18:04:04.367
pushing USDJPY 2014-06-11 18:04:09.460
pushing USDJPY 2014-06-11 18:04:24.583
pushing USDJPY 2014-06-11 18:04:26.663
pushing USDJPY 2014-06-11 18:04:40.677
pushing USDJPY 2014-06-11 18:04:45.227
pushing USDJPY 2014-06-11 18:04:48.333
pushing USDJPY 2014-06-11 18:04:48.663
pushing USDJPY 2014-06-11 18:04:49.350
pushing USDJPY 2014-06-11 18:04:53.130
pushing USDJPY 2014-06-11 18:04:58.287
pushing USDJPY 2014-06-11 18:05:05.163
pushing USDJPY 2014-06-11 18:05:15.460
pushing USDJPY 2014-06-11 18:05:15.803
pushing USDJPY 2014-06-11 18:05:23.380
pushing USDJPY 2014-06-11 18:05:27.833
pushing USDJPY 2014-06-11 18:05:33.677
pushing USDJPY 2014-06-11 18:05:34.037
pushing USDJPY 2014-06-11 18:05:50.520
pushing USDJPY 2014-06-11 18:06:02.583
pushing USDJPY 2014-06-11 18:06:02.927
pushing USDJPY 2014-06-11 18:06:03.257
pushing USDJPY 2014-06-11 18:06:03.583
pushing USDJPY 2014-06-11 18:06:06.020
pushing USDJPY 2014-06-11 18:06:06.333
pushing USDJPY 2014-06-11 18:06:06.693
pushing USDJPY 2014-06-11 18:06:12.880
pushing USDJPY 2014-06-11 18:06:13.913
pushing USDJPY 2014-06-11 18:06:14.257
pushing USDJPY 2014-06-11 18:06:14.583
pushing USDJPY 2014-06-11 18:06:34.880
pushing USDJPY 2014-06-11 18:06:51.380
pushing USDJPY 2014-06-11 18:06:52.413
pushing USDJPY 2014-06-11 18:06:52.757
pushing USDJPY 2014-06-11 18:06:56.537
pushing USDJPY 2014-06-11 18:06:59.973
pushing USDJPY 2014-06-11 18:07:10.973
pushing USDJPY 2014-06-11 18:07:15.787
pushing USDJPY 2014-06-11 18:07:18.867
pushing USDJPY 2014-06-11 18:07:19.567
pushing USDJPY 2014-06-11 18:07:44.660
pushing USDJPY 2014-06-11 18:08:25.207
pushing USDJPY 2014-06-11 18:08:33.113
pushing USDJPY 2014-06-11 18:08:33.457
pushing USDJPY 2014-06-11 18:08:37.927
pushing USDJPY 2014-06-11 18:08:40.333
pushing USDJPY 2014-06-11 18:08:40.677
pushing USDJPY 2014-06-11 18:08:42.050
pushing USDJPY 2014-06-11 18:08:54.083
pushing USDJPY 2014-06-11 18:08:54.427
pushing USDJPY 2014-06-11 18:08:56.147
pushing USDJPY 2014-06-11 18:08:56.490
pushing USDJPY 2014-06-11 18:08:56.833
pushing USDJPY 2014-06-11 18:08:57.177
pushing USDJPY 2014-06-11 18:08:58.207
pushing USDJPY 2014-06-11 18:09:00.270
pushing USDJPY 2014-06-11 18:09:04.397
pushing USDJPY 2014-06-11 18:09:05.443
pushing USDJPY 2014-06-11 18:09:07.490
pushing USDJPY 2014-06-11 18:09:07.833
pushing USDJPY 2014-06-11 18:09:08.177
pushing USDJPY 2014-06-11 18:09:14.363
pushing USDJPY 2014-06-11 18:09:14.707
pushing USDJPY 2014-06-11 18:09:17.800
pushing USDJPY 2014-06-11 18:09:19.537
pushing USDJPY 2014-06-11 18:09:20.207
pushing USDJPY 2014-06-11 18:09:23.660
pushing USDJPY 2014-06-11 18:09:29.833
pushing USDJPY 2014-06-11 18:09:34.647
pushing USDJPY 2014-06-11 18:09:36.707
pushing USDJPY 2014-06-11 18:09:54.927
pushing USDJPY 2014-06-11 18:09:57.333
pushing USDJPY 2014-06-11 18:10:00.770
pushing USDJPY 2014-06-11 18:10:04.550
pushing USDJPY 2014-06-11 18:10:04.897
